,,,,,,,,,,,,,,,
,,,,,,,,,The City of New York,,,,,,
,,,,,,,,,Department of Environmental Protection,,,,,,2/6/18
,,,,,,,,,Harbor Survey 2016,,,,,,1/23/18
,,,,,,,,,,,,,,,
,,,DO,,Fecal Coliform,,Enterococcus,,Transparency,,,,,,
,,,(mg/L),,(#/100 mL),,(#/100 mL),,(Secchi),,,,,,
,Site,Date,Top,Bot,Top,Bot,Top,Bot,ft.,,,,,,
,,,,,,,,,,,,,,,
,BB2,12/14/2016,7.70,NS,667,NS,15,NS,3.5,,,,,,
,BB4,12/14/2016,9.18,9.08,140,NS,72,NS,6.0,,,,,,
,GHC,12/14/2016,9.73,9.64,4,NS,4,NS,6.0,,,,,,
,HOB,12/14/2016,9.40,9.85,32,NS,14,NS,5.0,,,,,,
,J1,12/14/2016,9.40,9.29,13,NS,1,NS,5.0,,,,,,
,J10,12/14/2016,11.10,10.16,18,NS,2,NS,6.0,,,,,,
,J11,12/14/2016,9.06,8.67,220,NS,29,NS,7.0,,,,,,
,J12,12/14/2016,9.57,9.95,17,NS,2,NS,5.0,,,,,,
,J2,12/14/2016,9.14,9.03,21,NS,3,NS,5.5,,,,,,
,J3,12/14/2016,9.90,9.98,11,NS,4,NS,8.5,,,,,,
,J5,12/14/2016,9.69,10.06,5,NS,3,NS,6.0,,,,,,
,J7,12/14/2016,9.46,9.54,36,NS,4,NS,6.5,,,,,,
,J8,12/14/2016,9.57,9.69,20,NS,6,NS,7.5,,,,,,
,J9A,12/14/2016,9.23,9.69,21,NS,3,NS,7.0,,,,,,
,JA1,12/14/2016,9.25,9.41,12,NS,3,NS,6.5,,,,,,
,N16,12/14/2016,8.10,8.57,1,NS,1,NS,7.0,,,,,,
,N9,12/14/2016,8.78,8.58,12,NS,2,NS,7.0,,,,,,
,N9A,12/14/2016,8.92,8.50,6,NS,1,NS,5.0,,,,,,
,PB2,12/14/2016,9.15,9.25,6,NS,1,NS,6.0,,,,,,
,PB3,12/14/2016,9.69,NS,92,NS,11,NS,6.0,,,,,,
,SP2,12/14/2016,9.88,NS,21,NS,6,NS,7.5,,,,,,
,TB1,12/14/2016,NS,NS,NS,NS,NS,NS,NS,,,,,,
,TB2,12/14/2016,9.33,9.57,150,NS,44,NS,4.0,,,,,,
,CIC3,12/13/2016,7.80,7.37,580,NS,240,NS,5.0,,,,,,
,G2,12/13/2016,6.04,5.81,44,NS,32,NS,3.0,,,,,,
,GB1,12/13/2016,5.44,4.22,18,NS,12,NS,5.0,,,,,,
,K1,12/13/2016,6.68,7.39,52,NS,40,NS,2.0,,,,,,
,K2,12/13/2016,7.24,8.48,64,NS,32,NS,2.5,,,,,,
,K3,12/13/2016,6.28,6.00,168,NS,54,NS,3.5,,,,,,
,K4,12/13/2016,8.52,8.71,176,NS,164,NS,3.0,,,,,,
,K5,12/13/2016,4.30,4.82,24,NS,32,NS,3.0,,,,,,
,K5A,12/13/2016,8.28,9.16,32,NS,34,NS,4.0,,,,,,
,K6,12/13/2016,8.95,9.01,2,NS,2,NS,6.0,,,,,,
,N6,12/13/2016,7.66,7.87,48,NS,18,NS,2.0,,,,,,
,N7,12/13/2016,7.52,7.81,44,NS,44,NS,2.5,,,,,,
,N8,12/13/2016,6.25,5.66,44,NS,26,NS,3.5,,,,,,
,NC0,12/13/2016,3.99,3.89,6000,3800,1920,1300,2.5,,,,,,
,NC1,12/13/2016,4.40,3.89,3100,1240,1320,660,3.0,,,,,,
,NC2,12/13/2016,3.71,5.82,1351,865,600,480,4.0,,,,,,
,NC3,12/13/2016,6.57,7.45,2000,1063,1100,470,4.0,,,,,,
,BR5,12/12/2016,8.84,9.40,210,NS,140,NS,4.0,,,,,,
,E10,12/12/2016,9.05,9.20,10,NS,2,NS,4.5,,,,,,
,E11,12/12/2016,9.41,NS,28,NS,12,NS,4.0,,,,,,
,E14,12/12/2016,9.37,9.09,580,NS,148,NS,3.5,,,,,,
,E15,12/12/2016,8.70,NS,7800,NS,3100,NS,3.5,,,,,,
,E2,12/12/2016,8.51,8.58,22,NS,8,NS,3.0,,,,,,
,E4,12/12/2016,8.62,9.01,132,NS,100,NS,3.5,,,,,,
,E6,12/12/2016,9.66,9.04,1870,NS,930,NS,3.5,,,,,,
,E7,12/12/2016,9.09,9.12,60,NS,20,NS,4.0,,,,,,
,E8,12/12/2016,9.60,9.10,12,NS,2,NS,4.5,,,,,,
,FB1,12/12/2016,9.49,9.45,3100,NS,1140,NS,3.0,,,,,,
,FLC1,12/12/2016,7.92,NS,3600,NS,3300,NS,3.0,,,,,,
,FLC2,12/12/2016,8.51,8.96,946,NS,380,NS,3.5,,,,,,
,H3,12/12/2016,8.68,8.80,80,NS,58,NS,2.0,,,,,,
,LN1,12/12/2016,9.91,NS,129,NS,16,NS,4.0,,,,,,
,N1,12/12/2016,10.14,9.93,128,NS,32,NS,1.5,,,,,,
,N3B,12/12/2016,9.80,10.18,28,NS,28,NS,2.0,,,,,,
,N4,12/12/2016,9.81,9.11,24,NS,22,NS,1.5,,,,,,
,N5,12/12/2016,8.76,8.96,72,NS,48,NS,NS,,,,,,
,NR1,12/12/2016,9.83,9.66,44,NS,40,NS,2.0,,,,,,
,AC1,12/08/2016,10.75,NS,480,NS,480,NS,NS,,,,,,
,AC2,12/08/2016,11.27,NS,350,NS,110,NS,NS,,,,,,
,BR1,12/08/2016,10.70,NS,2700,NS,670,NS,NS,,,,,,
,BR3,12/08/2016,6.82,NS,480,NS,340,NS,NS,,,,,,
,E12,12/08/2016,8.97,NS,160,NS,90,NS,NS,,,,,,
,E13,12/08/2016,9.10,NS,30,NS,16,NS,NS,,,,,,
,HR03,12/08/2016,7.21,NS,430,NS,200,NS,NS,,,,,,
,HR1,12/08/2016,7.81,NS,330,NS,120,NS,NS,,,,,,
,HR2,12/08/2016,6.61,NS,160,NS,160,NS,NS,,,,,,
,WC1,12/08/2016,6.13,NS,360,NS,260,NS,NS,,,,,,
,WC2,12/08/2016,2.62,NS,883,NS,930,NS,NS,,,,,,
,WC3,12/08/2016,8.21,NS,260,NS,201,NS,NS,,,,,,
,CIC2,12/07/2016,7.72,NS,21000,NS,1200,NS,NS,,,,,,
,GC3,12/07/2016,10.68,10.70,260,160,40,70,NS,,,,,,
,GC4,12/07/2016,10.53,10.54,310,310,30,20,NS,,,,,,
,GC5,12/07/2016,10.52,10.49,190,280,100,110,NS,,,,,,
