,,,,,,,,,,,,,,,,
,,,,,,,,,,The City of New York,,,,,,
,,,,,,,,,,Department of Environmental Protection,,,,,,2/6/18
,,,,,,,,,,Harbor Survey 2017,,,,,,1/23/18
,,,,,,,,,,,,,,,,
,,,DO,,Fecal Coliform,,Enterococcus,,Transparency,Weather,,,,,,
,,,(mg/L),,(#/100 mL),,(#/100 mL),,(Secchi),Dry/Wet,,,,,,
,Site,Date,Top,Bot,Top,Bot,Top,Bot,ft.,D/W,,,,,,
,,,,,,,,,,,,,,,,
,F1,11/21/2017,8.41,NS,176,NS,12,NS,NS,D,,,,,,
,F5,11/21/2017,8.53,NS,78,NS,4,NS,NS,D,,,,,,
,HC1,11/21/2017,7.47,NS,30,NS,18,NS,NS,D,,,,,,
,HC2,11/21/2017,8.07,NS,20,NS,2,NS,NS,D,,,,,,
,HC3,11/21/2017,8.32,8.47,2,NS,2,NS,NS,D,,,,,,
,J14,11/21/2017,9.57,9.46,12,NS,2,NS,NS,D,,,,,,
,J16,11/21/2017,9.35,9.30,22,NS,2,NS,NS,D,,,,,,
,J18,11/21/2017,9.55,9.53,18,NS,2,NS,NS,D,,,,,,
,CIC3,11/20/2017,8.45,8.52,838,NS,51,NS,5.5,D,,,,,,
,G2,11/20/2017,8.87,8.60,16,NS,8,NS,NS,D,,,,,,
,GB1,11/20/2017,8.56,8.56,11,NS,1,NS,5.5,D,,,,,,
,K1,11/20/2017,8.43,8.33,24,NS,14,NS,3.0,D,,,,,,
,K2,11/20/2017,8.37,8.40,12,NS,9,NS,3.5,D,,,,,,
,K3,11/20/2017,8.39,8.24,56,NS,43,NS,5.5,D,,,,,,
,K4,11/20/2017,8.15,8.23,72,NS,56,NS,3.5,D,,,,,,
,K5,11/20/2017,8.27,8.16,10,NS,17,NS,4.5,D,,,,,,
,K5A,11/20/2017,8.44,8.43,10,NS,9,NS,3.5,D,,,,,,
,K6,11/20/2017,NS,NS,NS,NS,NS,NS,NS,NS,,,,,,
,N6,11/20/2017,8.84,8.30,16,NS,13,NS,3.0,D,,,,,,
,N7,11/20/2017,8.69,8.23,16,NS,9,NS,2.5,D,,,,,,
,N8,11/20/2017,8.49,8.48,8,NS,4,NS,6.0,D,,,,,,
,NC0,11/20/2017,4.62,4.57,124,96,48,52,3.0,D,,,,,,
,NC1,11/20/2017,5.49,5.40,60,20,48,16,4.5,D,,,,,,
,NC2,11/20/2017,6.20,6.13,24,16,44,28,4.0,D,,,,,,
,NC3,11/20/2017,7.63,7.48,24,28,12,4,3.5,D,,,,,,
,AC1,11/16/2017,8.86,NS,946,NS,600,NS,NS,W,,,,,,
,AC2,11/16/2017,8.92,NS,240,NS,2100,NS,NS,W,,,,,,
,BR1,11/16/2017,10.53,NS,9909,NS,17000,NS,NS,W,,,,,,
,BR3,11/16/2017,8.06,NS,60,NS,220,NS,NS,W,,,,,,
,E12,11/16/2017,8.61,NS,20,NS,10,NS,NS,W,,,,,,
,E13,11/16/2017,7.93,NS,26,NS,12,NS,NS,W,,,,,,
,HR03,11/16/2017,7.16,NS,2000,NS,600,NS,NS,W,,,,,,
,HR1,11/16/2017,8.06,NS,60,NS,20,NS,NS,W,,,,,,
,HR2,11/16/2017,6.13,NS,570,NS,240,NS,NS,W,,,,,,
,WC1,11/16/2017,7.17,NS,600,NS,500,NS,NS,W,,,,,,
,WC2,11/16/2017,6.34,NS,5900,NS,1700,NS,NS,W,,,,,,
,WC3,11/16/2017,8.03,NS,10,NS,12,NS,NS,W,,,,,,
,CIC2,11/14/2017,5.77,NS,30000,NS,4700,NS,NS,D,,,,,,
,GC3,11/14/2017,11.31,11.56,4,NS,12,NS,NS,D,,,,,,
,GC4,11/14/2017,11.33,11.41,232,16,196,40,NS,D,,,,,,
,GC5,11/14/2017,11.43,11.42,64,NS,196,NS,NS,D,,,,,,
,GC6,11/14/2017,10.93,10.87,40,4,112,108,NS,D,,,,,,
,SP1,11/14/2017,9.31,NS,283,NS,82,NS,NS,D,,,,,,
,BR5,11/13/2017,7.13,NS,88,NS,78,NS,3.0,D,,,,,,
,E10,11/13/2017,7.95,7.73,54,NS,1,NS,7.0,D,,,,,,
,E11,11/13/2017,8.24,NS,40,NS,3,NS,5.0,D,,,,,,
,E14,11/13/2017,7.68,7.69,64,NS,8,NS,4.5,D,,,,,,
,E15,11/13/2017,7.26,NS,460,NS,86,NS,5.0,D,,,,,,
,E2,11/13/2017,7.42,7.33,40,NS,20,NS,4.0,D,,,,,,
,E4,11/13/2017,7.48,7.50,84,NS,10,NS,4.0,D,,,,,,
,E6,11/13/2017,7.44,7.38,62,NS,72,NS,3.5,D,,,,,,
,E7,11/13/2017,7.61,7.72,56,NS,5,NS,5.0,D,,,,,,
,E8,11/13/2017,7.78,7.87,50,NS,5,NS,6.0,D,,,,,,
,FB1,11/13/2017,7.51,7.55,251,NS,210,NS,5.0,D,,,,,,
,FLC1,11/13/2017,6.37,NS,380,NS,100,NS,1.0,D,,,,,,
,FLC2,11/13/2017,7.27,7.26,460,NS,200,NS,3.0,D,,,,,,
,H3,11/13/2017,7.32,7.34,120,NS,16,NS,5.0,D,,,,,,
,LN1,11/13/2017,NS,NS,NS,NS,NS,NS,NS,NS,,,,,,
,N1,11/13/2017,9.12,7.95,260,NS,32,NS,2.0,D,,,,,,
,N3B,11/13/2017,8.42,7.59,240,NS,16,NS,2.0,D,,,,,,
,N4,11/13/2017,8.14,7.56,88,NS,16,NS,3.0,D,,,,,,
,N5,11/13/2017,8.04,7.64,52,NS,10,NS,4.0,D,,,,,,
,NR1,11/13/2017,8.39,7.57,120,NS,27,NS,2.5,D,,,,,,
,BB2,11/01/2017,2.81,NS,4400,NS,490,NS,3.0,D,,,,,,
,BB4,11/01/2017,4.86,5.13,490,NS,56,NS,5.0,D,,,,,,
,GHC,11/01/2017,5.86,6.60,164,NS,17,NS,6.5,D,,,,,,
,HOB,11/01/2017,6.05,6.20,290,NS,50,NS,6.0,D,,,,,,
,J1,11/01/2017,5.15,6.21,50,NS,4,NS,5.0,D,,,,,,
,J10,11/01/2017,5.91,6.03,240,NS,3,NS,7.0,D,,,,,,
,J11,11/01/2017,6.07,6.09,41,NS,1,NS,5.0,D,,,,,,
,J12,11/01/2017,5.30,5.61,210,NS,10,NS,6.0,D,,,,,,
,J2,11/01/2017,5.94,6.10,118,NS,1,NS,6.0,D,,,,,,
