,,,,,,,,,,,,,,,
,,,,,,,,,The City of New York,,,,,,
,,,,,,,,,Department of Environmental Protection,,,,,,2/6/18
,,,,,,,,,Harbor Survey 2012,,,,,,1/23/18
,,,,,,,,,,,,,,,
,,,DO,,Fecal Coliform,,Enterococcus,,Transparency,,,,,,
,,,(mg/L),,(#/100 mL),,(#/100 mL),,(Secchi),,,,,,
,Site,Date,Top,Bot,Top,Bot,Top,Bot,ft.,,,,,,
,,,,,,,,,,,,,,,
,CIC2,12/20/2012,9.42,9.22,570,NS,104,NS,NS,,,,,,
,GC3,12/20/2012,6.10,4.81,3700,3200,2400,2200,NS,,,,,,
,GC4,12/20/2012,6.98,2.66,6000,3800,2600,2000,NS,,,,,,
,GC5,12/20/2012,6.58,5.89,2800,2500,600,2500,NS,,,,,,
,GC6,12/20/2012,9.68,6.92,2600,2200,480,1100,NS,,,,,,
,BB2,12/19/2012,10.68,NS,770,NS,54,NS,4.0,,,,,,
,BB4,12/19/2012,10.41,10.26,200,NS,8,NS,4.0,,,,,,
,CIC3,12/19/2012,8.42,9.15,360,NS,125,NS,4.0,,,,,,
,GB1,12/19/2012,9.44,9.29,99,NS,28,NS,2.5,,,,,,
,J1,12/19/2012,9.54,9.42,22,NS,4,NS,3.5,,,,,,
,J10,12/19/2012,10.01,9.65,8,NS,4,NS,4.0,,,,,,
,J11,12/19/2012,9.87,9.25,108,NS,16,NS,3.5,,,,,,
,J12,12/19/2012,10.38,10.21,87,NS,4,NS,4.5,,,,,,
,J2,12/19/2012,9.75,9.54,22,NS,4,NS,5.0,,,,,,
,J3,12/19/2012,9.73,10.23,17,NS,4,NS,4.0,,,,,,
,J5,12/19/2012,10.67,10.88,9,NS,2,NS,3.0,,,,,,
,J7,12/19/2012,10.20,10.13,92,NS,6,NS,4.0,,,,,,
,J8,12/19/2012,10.54,10.02,96,NS,4,NS,4.0,,,,,,
,J9A,12/19/2012,10.02,9.32,31,NS,16,NS,5.0,,,,,,
,N16,12/19/2012,NS,NS,NS,NS,NS,NS,NS,,,,,,
,N9,12/19/2012,10.21,9.39,32,NS,8,NS,3.0,,,,,,
,N9A,12/19/2012,9.22,9.39,21,NS,2,NS,3.0,,,,,,
,PB2,12/19/2012,9.98,10.11,45,NS,12,NS,3.5,,,,,,
,PB3,12/19/2012,10.10,NS,28,NS,2,NS,4.0,,,,,,
,SP2,12/19/2012,10.14,NS,53,NS,4,NS,4.0,,,,,,
,G2,12/18/2012,8.92,8.34,355,NS,132,NS,NS,,,,,,
,K1,12/18/2012,8.89,8.86,360,NS,148,NS,3.0,,,,,,
,K2,12/18/2012,8.92,9.03,390,NS,144,NS,3.0,,,,,,
,K3,12/18/2012,8.73,8.90,590,NS,760,NS,2.5,,,,,,
,K4,12/18/2012,9.12,9.02,116,NS,91,NS,2.0,,,,,,
,K5,12/18/2012,10.32,9.81,80,NS,24,NS,1.5,,,,,,
,K5A,12/18/2012,10.23,10.18,36,NS,18,NS,2.0,,,,,,
,K6,12/18/2012,9.26,9.12,19,NS,2,NS,3.0,,,,,,
,N6,12/18/2012,9.17,8.92,182,NS,60,NS,3.0,,,,,,
,N7,12/18/2012,9.10,8.92,68,NS,22,NS,3.5,,,,,,
,N8,12/18/2012,9.08,9.07,96,NS,42,NS,3.5,,,,,,
,NC0,12/18/2012,4.65,4.70,28000,3600,14900,2900,1.0,,,,,,
,NC1,12/18/2012,4.03,5.80,9300,3100,8500,2400,1.5,,,,,,
,NC2,12/18/2012,5.48,6.60,770,480,625,470,2.5,,,,,,
,NC3,12/18/2012,7.68,8.40,600,350,550,290,2.0,,,,,,
,AC1,12/17/2012,10.53,NS,3500,NS,600,NS,NS,,,,,,
,BR1,12/17/2012,11.24,NS,3100,NS,3300,NS,NS,,,,,,
,BR3,12/17/2012,8.04,NS,360,NS,470,NS,NS,,,,,,
,BR5,12/17/2012,9.46,NS,108,NS,46,NS,4.0,,,,,,
,E10,12/17/2012,9.39,9.41,5,NS,12,NS,4.0,,,,,,
,E11,12/17/2012,9.39,NS,20,NS,10,NS,4.5,,,,,,
,E14,12/17/2012,9.54,7.89,20,NS,10,NS,4.0,,,,,,
,E15,12/17/2012,9.15,9.13,520,NS,240,NS,4.0,,,,,,
,E2,12/17/2012,10.54,9.25,21,NS,8,NS,NS,,,,,,
,E4,12/17/2012,8.79,8.79,50,NS,30,NS,2.5,,,,,,
,E6,12/17/2012,9.07,9.54,22,NS,16,NS,4.0,,,,,,
,E7,12/17/2012,9.44,9.19,108,NS,80,NS,4.0,,,,,,
,E8,12/17/2012,9.34,9.81,13,NS,12,NS,5.0,,,,,,
,FB1,12/17/2012,9.17,9.43,92,NS,42,NS,4.5,,,,,,
,FLC1,12/17/2012,8.54,8.62,510,NS,210,NS,4.0,,,,,,
,FLC2,12/17/2012,9.26,9.04,200,NS,100,NS,4.5,,,,,,
,H3,12/17/2012,9.44,9.59,223,NS,60,NS,1.5,,,,,,
,HC1,12/17/2012,9.39,NS,10,NS,10,NS,NS,,,,,,
,HC2,12/17/2012,10.14,NS,9,NS,10,NS,NS,,,,,,
,LN1,12/17/2012,9.57,NS,105,NS,106,NS,3.0,,,,,,
,N1,12/17/2012,10.33,10.36,200,NS,64,NS,2.0,,,,,,
,N3B,12/17/2012,9.62,8.99,140,NS,72,NS,2.5,,,,,,
,N4,12/17/2012,9.27,9.05,164,NS,80,NS,2.0,,,,,,
,N5,12/17/2012,9.88,9.08,251,NS,168,NS,2.0,,,,,,
,SP1,12/17/2012,10.87,NS,250,NS,70,NS,NS,,,,,,
,CIC2,12/13/2012,6.23,NS,21000,NS,1000,NS,NS,,,,,,
,F5,12/13/2012,10.12,NS,40,NS,18,NS,NS,,,,,,
,GC3,12/13/2012,4.72,5.67,252,132,189,120,NS,,,,,,
,GC4,12/13/2012,5.31,5.90,312,180,280,290,NS,,,,,,
,GC5,12/13/2012,5.11,6.28,240,196,188,104,NS,,,,,,
,GC6,12/13/2012,5.63,6.90,224,124,56,52,NS,,,,,,
,J14,12/13/2012,11.04,NS,4,NS,2,NS,NS,,,,,,
,J16,12/13/2012,10.19,NS,4,NS,2,NS,NS,,,,,,
,BB2,12/12/2012,8.95,NS,21000,NS,870,NS,4.0,,,,,,
,BB4,12/12/2012,11.81,10.59,6600,NS,150,NS,5.0,,,,,,
,CIC3,12/12/2012,7.72,8.20,1900,NS,350,NS,4.5,,,,,,
