,,,,,,,,,,,,,,,,
,,,,,,,,,,The City of New York,,,,,,
,,,,,,,,,,Department of Environmental Protection,,,,,,2/6/18
,,,,,,,,,,Harbor Survey 2014,,,,,,1/23/18
,,,,,,,,,,,,,,,,
,,,DO,,Fecal Coliform,,Enterococcus,,Transparency,Weather,,,,,,
,,,(mg/L),,(#/100 mL),,(#/100 mL),,(Secchi),Dry/Wet,,,,,,
,Site,Date,Top,Bot,Top,Bot,Top,Bot,ft.,D/W,,,,,,
,,,,,,,,,,,,,,,,
,E14,12/02/2014,8.95,8.96,10,NS,12,NS,NS,D,,,,,,
,E15,12/02/2014,8.36,8.30,261,NS,76,NS,4.5,D,,,,,,
,E2,12/02/2014,8.51,8.49,22,NS,5,NS,3.5,D,,,,,,
,E4,12/02/2014,8.84,8.90,6,NS,6,NS,4.0,D,,,,,,
,E6,12/02/2014,8.87,8.98,3,NS,6,NS,4.0,D,,,,,,
,E7,12/02/2014,8.99,8.92,4,NS,2,NS,5.0,D,,,,,,
,E8,12/02/2014,9.08,9.12,4,NS,3,NS,6.0,D,,,,,,
,FB1,12/02/2014,8.70,8.69,31,NS,18,NS,4.0,D,,,,,,
,FLC1,12/02/2014,NS,NS,NS,NS,NS,NS,NS,D,,,,,,
,FLC2,12/02/2014,8.24,8.33,275,NS,114,NS,3.0,D,,,,,,
,H3,12/02/2014,8.48,8.38,7,NS,12,NS,4.0,D,,,,,,
,LN1,12/02/2014,9.47,NS,36,NS,4,NS,2.5,D,,,,,,
,N1,12/02/2014,10.31,9.28,70,NS,48,NS,1.5,D,,,,,,
,N3B,12/02/2014,9.42,8.48,46,NS,50,NS,1.5,D,,,,,,
,N4,12/02/2014,9.11,8.40,157,NS,54,NS,2.0,D,,,,,,
,N5,12/02/2014,9.17,8.26,38,NS,16,NS,3.0,D,,,,,,
,E12,12/01/2014,9.00,NS,56,NS,28,NS,NS,D,,,,,,
,HR03,12/01/2014,8.22,NS,227,NS,64,NS,NS,D,,,,,,
,HR1,12/01/2014,8.06,NS,100,NS,20,NS,NS,D,,,,,,
,HR2,12/01/2014,7.28,NS,3400,NS,910,NS,NS,D,,,,,,
,E2,11/24/2014,6.59,7.89,180,NS,84,NS,3.5,W,,,,,,
,K1,11/24/2014,7.43,8.46,248,NS,68,NS,4.0,W,,,,,,
,N5,11/24/2014,7.55,8.07,73,NS,28,NS,4.0,W,,,,,,
,N6,11/24/2014,7.16,7.65,31,NS,12,NS,4.0,W,,,,,,
,N7,11/24/2014,8.05,8.65,19,NS,52,NS,3.0,W,,,,,,
,AC1,11/19/2014,NS,NS,1800,NS,450,NS,NS,W,,,,,,
,AC2,11/19/2014,NS,NS,6900,NS,660,NS,NS,W,,,,,,
,BR1,11/19/2014,11.95,NS,2300,NS,2700,NS,NS,W,,,,,,
,BR3,11/19/2014,7.63,NS,2000,NS,1400,NS,NS,W,,,,,,
,E11,11/19/2014,8.61,NS,120,NS,135,NS,NS,W,,,,,,
,E12,11/19/2014,9.52,NS,36,NS,10,NS,NS,W,,,,,,
,E13,11/19/2014,8.83,NS,60,NS,24,NS,NS,W,,,,,,
,HC1,11/19/2014,3.98,NS,90,NS,60,NS,NS,W,,,,,,
,HC2,11/19/2014,8.42,NS,9,NS,10,NS,NS,W,,,,,,
,HR03,11/19/2014,7.48,NS,930,NS,800,NS,NS,W,,,,,,
,HR1,11/19/2014,8.67,NS,410,NS,56000,NS,NS,W,,,,,,
,HR2,11/19/2014,6.31,NS,1800,NS,800,NS,NS,W,,,,,,
,LN1,11/19/2014,9.31,NS,160,NS,89,NS,NS,W,,,,,,
,SP1,11/19/2014,NS,NS,NS,NS,NS,NS,NS,W,,,,,,
,WC1,11/19/2014,8.63,NS,3000,NS,910,NS,NS,W,,,,,,
,WC2,11/19/2014,NS,NS,NS,NS,NS,NS,NS,W,,,,,,
,WC3,11/19/2014,8.96,NS,530,NS,303,NS,NS,W,,,,,,
,CIC2,11/18/2014,5.39,NS,35000,NS,8900,NS,NS,W,,,,,,
,GC3,11/18/2014,0.88,0.97,13000,NS,42000,NS,NS,W,,,,,,
,GC4,11/18/2014,1.02,1.96,56000,21000,62000,7000,NS,W,,,,,,
,GC5,11/18/2014,1.60,3.31,75000,32000,26000,3400,NS,W,,,,,,
,GC6,11/18/2014,4.22,4.41,20000,9100,25000,4400,NS,W,,,,,,
,BB2,11/17/2014,4.86,NS,20000,NS,1440,NS,1.5,W,,,,,,
,BB4,11/17/2014,7.77,7.61,2700,NS,222,NS,1.5,W,,,,,,
,CIC3,11/17/2014,7.46,7.46,2600,NS,280,NS,4.0,W,,,,,,
,GB1,11/17/2014,7.71,7.81,4000,NS,4000,NS,1.0,W,,,,,,
,J1,11/17/2014,8.57,8.40,4,NS,2,NS,8.5,W,,,,,,
,J10,11/17/2014,7.96,7.98,224,NS,16,NS,11.0,W,,,,,,
,J11,11/17/2014,7.75,7.77,82,NS,32,NS,8.0,W,,,,,,
,J12,11/17/2014,8.08,7.73,91,NS,6,NS,7.0,W,,,,,,
,J2,11/17/2014,8.07,8.16,19,NS,6,NS,11.0,W,,,,,,
,J3,11/17/2014,7.91,8.11,240,NS,10,NS,10.5,W,,,,,,
,J5,11/17/2014,8.56,8.50,20,NS,10,NS,9.5,W,,,,,,
,J7,11/17/2014,7.70,7.51,9400,NS,660,NS,3.0,W,,,,,,
,J8,11/17/2014,7.70,7.83,1700,NS,18,NS,8.5,W,,,,,,
,J9A,11/17/2014,8.00,7.98,160,NS,14,NS,9.5,W,,,,,,
,N16,11/17/2014,8.07,8.08,2,NS,2,NS,12.5,W,,,,,,
,N9,11/17/2014,8.00,7.95,10,NS,4,NS,10.0,W,,,,,,
,N9A,11/17/2014,8.25,8.24,2,NS,4,NS,11.0,W,,,,,,
,PB2,11/17/2014,7.19,7.29,15,NS,24,NS,10.0,W,,,,,,
,PB3,11/17/2014,7.90,NS,370,NS,121,NS,8.5,W,,,,,,
,SP2,11/17/2014,8.03,NS,5500,NS,40,NS,11.0,W,,,,,,
,G2,11/13/2014,7.06,7.00,4,NS,1,NS,5.5,D,,,,,,
,K1,11/13/2014,7.50,7.22,12,NS,3,NS,5.0,D,,,,,,
,K2,11/13/2014,6.90,6.93,8,NS,4,NS,4.0,D,,,,,,
,K3,11/13/2014,6.77,6.76,10,NS,8,NS,5.0,D,,,,,,
,K4,11/13/2014,6.76,6.38,8,NS,2,NS,6.0,D,,,,,,
,K5,11/13/2014,6.20,6.14,4,NS,3,NS,5.0,D,,,,,,
,K5A,11/13/2014,7.13,7.03,1,NS,2,NS,5.0,D,,,,,,
,K6,11/13/2014,7.52,7.69,1,NS,2,NS,6.5,D,,,,,,
,N6,11/13/2014,7.49,7.40,5,NS,1,NS,4.5,D,,,,,,
,N7,11/13/2014,7.56,7.26,10,NS,1,NS,4.0,D,,,,,,
,N8,11/13/2014,7.45,7.42,8,NS,2,NS,5.0,D,,,,,,
,NC0,11/13/2014,3.15,3.17,36,42,16,20,4.5,D,,,,,,
,NC1,11/13/2014,4.12,4.18,22,14,16,8,5.0,D,,,,,,
,NC2,11/13/2014,4.94,4.85,31,39,20,12,5.5,D,,,,,,
,NC3,11/13/2014,5.71,5.88,17,14,16,16,4.0,D,,,,,,
,BR5,11/05/2014,NS,NS,NS,NS,NS,NS,NS,D,,,,,,
,E10,11/05/2014,8.20,7.96,2,NS,1,NS,5.0,D,,,,,,
,E14,11/05/2014,8.06,7.82,4,NS,4,NS,3.0,D,,,,,,
,E15,11/05/2014,7.77,7.62,132,NS,8,NS,2.5,D,,,,,,
,E2,11/05/2014,7.72,7.64,12,NS,4,NS,4.0,D,,,,,,
,E4,11/05/2014,7.93,7.93,9,NS,3,NS,3.5,D,,,,,,
,E6,11/05/2014,7.92,7.71,23,NS,1,NS,3.5,D,,,,,,
,E7,11/05/2014,8.16,8.03,3,NS,1,NS,5.5,D,,,,,,
,E8,11/05/2014,8.37,8.35,2,NS,1,NS,5.0,D,,,,,,
,FB1,11/05/2014,7.76,7.85,39,NS,2,NS,2.5,D,,,,,,
,FLC1,11/05/2014,6.49,6.45,590,NS,98,NS,2.0,D,,,,,,
,FLC2,11/05/2014,6.90,6.76,680,NS,148,NS,2.0,D,,,,,,
,H3,11/05/2014,7.70,7.40,50,NS,3,NS,3.0,D,,,,,,
,N1,11/05/2014,8.00,7.75,54,NS,4,NS,2.0,D,,,,,,
,N3B,11/05/2014,7.86,7.73,58,NS,8,NS,2.5,D,,,,,,
,N4,11/05/2014,7.63,7.81,20,NS,2,NS,3.0,D,,,,,,
,N5,11/05/2014,7.97,8.14,21,NS,1,NS,5.0,D,,,,,,
,GC3,11/03/2014,9.43,NS,9,NS,20,NS,NS,W,,,,,,
,GC4,11/03/2014,9.14,8.82,18,27,10,20,NS,W,,,,,,
,GC5,11/03/2014,9.45,9.37,9,45,20,40,NS,W,,,,,,
,GC6,11/03/2014,8.79,8.61,280,144,20,30,NS,W,,,,,,
,GC3,10/08/2014,8.88,8.87,50,96,40,44,NS,D,,,,,,
,GC4,10/08/2014,8.60,8.64,84,77,64,36,NS,D,,,,,,
,GC5,10/08/2014,8.43,8.54,88,65,90,60,NS,D,,,,,,
,GC6,10/08/2014,7.06,6.03,136,356,108,120,NS,D,,,,,,
,BB2,10/07/2014,NS,NS,NS,NS,NS,NS,NS,D,,,,,,
,BB4,10/07/2014,NS,NS,NS,NS,NS,NS,NS,D,,,,,,
,CIC3,10/07/2014,6.63,6.65,500,NS,10,NS,8.0,D,,,,,,
,GB1,10/07/2014,7.13,7.02,6,NS,4,NS,7.0,D,,,,,,
,J1,10/07/2014,6.74,6.75,11,NS,1,NS,5.0,D,,,,,,
,J10,10/07/2014,6.43,6.34,104,NS,4,NS,4.5,D,,,,,,
,J11,10/07/2014,7.60,7.13,220,NS,14,NS,5.5,D,,,,,,
,J12,10/07/2014,NS,NS,NS,NS,NS,NS,NS,D,,,,,,
,J2,10/07/2014,6.70,6.50,70,NS,4,NS,4.5,D,,,,,,
,J3,10/07/2014,6.22,6.13,116,NS,3,NS,4.0,D,,,,,,
,J5,10/07/2014,NS,NS,NS,NS,NS,NS,NS,D,,,,,,
,J7,10/07/2014,NS,NS,NS,NS,NS,NS,NS,D,,,,,,
,J8,10/07/2014,5.95,5.83,2900,NS,3,NS,4.0,D,,,,,,
,J9A,10/07/2014,6.27,6.24,210,NS,6,NS,5.0,D,,,,,,
,N16,10/07/2014,NS,NS,NS,NS,NS,NS,NS,D,,,,,,
,N9,10/07/2014,6.83,6.90,7,NS,1,NS,5.5,D,,,,,,
