,,,,,,,,,,,,,,,
,,,,,,,,,The City of New York,,,,,,
,,,,,,,,,Department of Environmental Protection,,,,,,2/6/18
,,,,,,,,,Harbor Survey 2013,,,,,,1/23/18
,,,,,,,,,,,,,,,
,,,DO,,Fecal Coliform,,Enterococcus,,Transparency,Weather,,,,,
,,,(mg/L),,(#/100 mL),,(#/100 mL),,(Secchi),Wet/Dry,,,,,
,Site,Date,Top,Bot,Top,Bot,Top,Bot,ft.,,,,,,
,,,,,,,,,,,,,,,
,E14,12/02/2013,8.94,9.34,6,NS,4,NS,5.0,Dry,,,,,
,E15,12/02/2013,8.70,8.79,39,NS,9,NS,6.0,Dry,,,,,
,E2,12/02/2013,8.72,8.64,24,NS,6,NS,NS,Dry,,,,,
,E4,12/02/2013,9.02,8.87,10,NS,7,NS,5.0,Dry,,,,,
,E6,12/02/2013,8.92,8.83,8,NS,6,NS,6.0,Dry,,,,,
,E7,12/02/2013,9.05,9.08,11,NS,4,NS,6.0,Dry,,,,,
,E8,12/02/2013,8.96,9.15,15,NS,4,NS,7.0,Dry,,,,,
,FB1,12/02/2013,9.07,8.62,53,NS,23,NS,5.5,Dry,,,,,
,FLC1,12/02/2013,8.79,8.53,88,NS,21,NS,5.0,Dry,,,,,
,FLC2,12/02/2013,8.52,8.61,69,NS,31,NS,6.0,Dry,,,,,
,H3,12/02/2013,8.61,8.69,18,NS,15,NS,3.0,Dry,,,,,
,LN1,12/02/2013,9.19,NS,7,NS,5,NS,5.5,Dry,,,,,
,N1,12/02/2013,9.87,9.69,224,NS,120,NS,1.0,Dry,,,,,
,N3B,12/02/2013,9.24,9.15,48,NS,25,NS,1.5,Dry,,,,,
,N4,12/02/2013,9.23,9.12,88,NS,45,NS,2.0,Dry,,,,,
,N5,12/02/2013,9.04,8.92,39,NS,24,NS,2.0,Dry,,,,,
,BB2,11/25/2013,8.48,NS,770,NS,1,NS,5.0,Dry,,,,,
,BB4,11/25/2013,9.41,9.44,370,NS,2,NS,4.0,Dry,,,,,
,CIC3,11/25/2013,9.79,9.85,590,NS,9,NS,4.0,Dry,,,,,
,GB1,11/25/2013,9.32,8.92,27,NS,2,NS,5.5,Dry,,,,,
,J1,11/25/2013,9.40,9.47,1,NS,1,NS,8.0,Dry,,,,,
,J10,11/25/2013,9.52,9.54,3,NS,1,NS,5.0,Dry,,,,,
,J11,11/25/2013,9.55,9.24,61,NS,5,NS,6.0,Dry,,,,,
,J12,11/25/2013,9.69,9.85,256,NS,2,NS,4.5,Dry,,,,,
,J2,11/25/2013,9.40,9.34,3,NS,1,NS,5.5,Dry,,,,,
,J3,11/25/2013,9.40,9.35,3,NS,1,NS,6.0,Dry,,,,,
,J5,11/25/2013,9.86,9.89,12,NS,2,NS,3.0,Dry,,,,,
,J7,11/25/2013,9.43,9.49,1100,NS,1,NS,4.5,Dry,,,,,
,J8,11/25/2013,9.32,9.38,4,NS,1,NS,6.0,Dry,,,,,
,J9A,11/25/2013,9.34,9.39,2,NS,1,NS,5.0,Dry,,,,,
,N16,11/25/2013,8.93,8.52,1,NS,1,NS,7.0,Dry,,,,,
,N9,11/25/2013,9.38,9.34,2,NS,1,NS,6.0,Dry,,,,,
,N9A,11/25/2013,9.30,9.21,3,NS,1,NS,11.0,Dry,,,,,
,PB2,11/25/2013,9.30,9.28,66,NS,1,NS,5.0,Dry,,,,,
,PB3,11/25/2013,9.40,NS,27,NS,5,NS,5.0,Dry,,,,,
,SP2,11/25/2013,9.84,NS,8,NS,1,NS,5.0,Dry,,,,,
,G2,11/14/2013,8.44,8.39,8,NS,1,NS,3.5,Dry,,,,,
,K1,11/14/2013,8.41,8.17,12,NS,4,NS,2.5,Dry,,,,,
,K2,11/14/2013,8.51,8.58,8,NS,2,NS,3.0,Dry,,,,,
,K3,11/14/2013,8.66,8.62,18,NS,5,NS,2.5,Dry,,,,,
,K4,11/14/2013,8.36,8.28,20,NS,4,NS,4.5,Dry,,,,,
,K5,11/14/2013,8.36,8.38,13,NS,8,NS,4.0,Dry,,,,,
,K5A,11/14/2013,8.77,8.79,20,NS,5,NS,4.5,Dry,,,,,
,K6,11/14/2013,10.49,10.51,2,NS,1,NS,4.0,Dry,,,,,
,N6,11/14/2013,8.33,8.22,35,NS,9,NS,2.5,Dry,,,,,
,N7,11/14/2013,8.41,8.18,22,NS,3,NS,3.0,Dry,,,,,
,N8,11/14/2013,8.81,8.42,13,NS,10,NS,4.0,Dry,,,,,
,NC0,11/14/2013,4.92,4.87,280,212,64,124,3.0,Dry,,,,,
,NC1,11/14/2013,6.08,6.21,56,47,4,12,3.5,Dry,,,,,
,NC2,11/14/2013,6.19,6.26,92,144,12,8,4.0,Dry,,,,,
,NC3,11/14/2013,7.16,7.31,560,520,8,16,4.0,Dry,,,,,
,BR5,11/12/2013,NS,NS,NS,NS,NS,NS,NS,Dry,,,,,
,E10,11/12/2013,8.44,8.46,3,NS,1,NS,6.0,Dry,,,,,
,E11,11/12/2013,8.65,NS,99,NS,8,NS,3.0,Dry,,,,,
,E14,11/12/2013,8.15,8.12,10,NS,4,NS,3.5,Dry,,,,,
,E15,11/12/2013,9.06,8.49,400,NS,50,NS,1.5,Dry,,,,,
,E2,11/12/2013,7.89,7.80,27,NS,5,NS,5.0,Dry,,,,,
,E4,11/12/2013,7.94,7.90,28,NS,4,NS,4.0,Dry,,,,,
,E6,11/12/2013,8.47,8.38,72,NS,9,NS,3.5,Dry,,,,,
,E7,11/12/2013,8.28,8.21,13,NS,1,NS,5.5,Dry,,,,,
,E8,11/12/2013,8.63,8.14,7,NS,1,NS,6.0,Dry,,,,,
,FB1,11/12/2013,8.34,8.62,213,NS,20,NS,2.0,Dry,,,,,
,FLC1,11/12/2013,7.51,7.51,2800,NS,370,NS,2.5,Dry,,,,,
,FLC2,11/12/2013,8.01,7.57,1000,NS,250,NS,3.0,Dry,,,,,
,H3,11/12/2013,8.33,8.28,47,NS,14,NS,2.0,Dry,,,,,
,LN1,11/12/2013,NS,NS,NS,NS,NS,NS,NS,Dry,,,,,
,N1,11/12/2013,9.53,8.46,116,NS,20,NS,2.5,Dry,,,,,
,N3B,11/12/2013,8.94,7.54,99,NS,12,NS,2.5,Dry,,,,,
,N4,11/12/2013,8.85,7.91,78,NS,12,NS,NS,Dry,,,,,
,N5,11/12/2013,8.25,8.13,37,NS,13,NS,NS,Dry,,,,,
,CIC2,11/07/2013,7.21,NS,4500,NS,32,NS,NS,Dry,,,,,
,GC3,11/07/2013,5.46,5.49,256,4600,4,12,NS,Dry,,,,,
,GC4,11/07/2013,5.70,5.67,232,316,28,16,NS,Dry,,,,,
,GC5,11/07/2013,6.14,6.18,280,252,36,8,NS,Dry,,,,,
,GC6,11/07/2013,6.97,6.79,372,112,4,12,NS,Dry,,,,,
,AC1,11/06/2013,7.42,NS,4800,NS,1200,NS,NS,Dry,,,,,
,BR1,11/06/2013,8.81,NS,800,NS,112,NS,NS,Dry,,,,,
,BR3,11/06/2013,5.40,NS,324,NS,36,NS,NS,Dry,,,,,
,HC1,11/06/2013,7.35,NS,31,NS,2,NS,NS,Dry,,,,,
,HC2,11/06/2013,6.87,NS,2,NS,8,NS,NS,Dry,,,,,
,SP1,11/06/2013,10.20,NS,96,NS,30,NS,NS,Dry,,,,,
,BR5,10/22/2013,7.20,NS,32,NS,4,NS,3.5,Dry,,,,,
,E10,10/22/2013,7.21,6.98,2,NS,1,NS,5.0,Dry,,,,,
,E11,10/22/2013,7.05,NS,1,NS,1,NS,5.0,Dry,,,,,
,E14,10/22/2013,7.18,6.75,2,NS,1,NS,3.5,Dry,,,,,
,E15,10/22/2013,6.77,7.44,42,NS,1,NS,4.5,Dry,,,,,
,E2,10/22/2013,6.76,6.29,44,NS,4,NS,3.5,Dry,,,,,
,E4,10/22/2013,6.26,6.96,6,NS,2,NS,3.0,Dry,,,,,
,E6,10/22/2013,6.39,6.65,7,NS,2,NS,3.5,Dry,,,,,
,E7,10/22/2013,6.83,7.01,1,NS,1,NS,4.5,Dry,,,,,
,E8,10/22/2013,6.73,6.91,7,NS,1,NS,4.0,Dry,,,,,
,FB1,10/22/2013,6.95,6.70,6,NS,1,NS,4.0,Dry,,,,,
,FLC1,10/22/2013,6.16,6.03,276,NS,2,NS,3.5,Dry,,,,,
,FLC2,10/22/2013,6.85,6.81,11,NS,2,NS,4.0,Dry,,,,,
,H3,10/22/2013,6.74,6.80,48,NS,8,NS,2.0,Dry,,,,,
,LN1,10/22/2013,8.44,NS,104,NS,1,NS,4.0,Dry,,,,,
,N1,10/22/2013,7.37,6.52,22,NS,4,NS,2.0,Dry,,,,,
,N3B,10/22/2013,6.90,6.25,35,NS,5,NS,2.5,Dry,,,,,
,N4,10/22/2013,6.79,6.44,84,NS,8,NS,3.5,Dry,,,,,
,N5,10/22/2013,6.65,6.41,22,NS,3,NS,4.0,Dry,,,,,
