Site,Date,Depth,,Salinity,,Temperature,,O2,,O2 Saturation,,Conductivity,,Light Trans,,Sigma-T,,Fluorometer,,pH,,Photosysthetically Active Radiation Reference (400-700nm light),PAR,,Oxidation Reduction Potential,,Latitude,Longitude,Default,,Hr:Mn,Act. Dep.,Current,,Wind,,Sea State,O2 (Wnklr),,Secchi,pH,,Fecal  Coliform,,Inc.,Enterococcus,,Inc.,Weather,NO3/NO2-N,,NH3-N,,Ortho-P,,TKN-N,,SiO2,,Total-P,,TSS,,Chl a,,DOC,Depth (YSI),,Salinity (YSI),,Temperature (YSI),,Chl a (field),,DO (YSI),,Turbidity (YSI),,Weather,,,
,,(ft),,(psu),,(deg C),,(mg/L),,(% sat),,(S/M),,(%Trans.),,(kg/m3),,(mg/m3),,,,uE/s m2,uE/s m2,,mV,,,,Latitude,Longitude,,(ft),(knots),,(mph),,,(mg/L),,(ft),,,(#/100 mL),,#,(#/100 mL),,#,,(mg/L),,(mg/L),,(mg/L),,(mg/L),,(mg/L),,(mg/L),,(mg/L),,(μg/L),,(mg/L),(ft),,(psu),,(deg C),,(μg/L),,(mg/L),,,,Rain Gage,,,
   ,,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Top,Bot,Top,Bot,,,,,,,Speed,Dir.,Speed,Dir.,,Top,Bot,,Top,Bot,Top,Bot,,Top,Bot,,Dry/Wet,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Dry/Wet,,,
E14,1/14/08,5,21,22.30,22.81,5.38,4.93,ND,ND,ND,ND,2.24,2.26,ND,ND,17.59,18.03,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1:16 PM,23.0,0.5,E,7,NE,1,11.25,11.20,4.0,7.68,7.70,106,ND,,81,ND,,W,0.401,,0.682,,0.142,,1.120,,2.550,,0.200,,6.2,8.8,1.248,,2.80,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
E4,1/14/08,5,70,18.88,19.01,5.47,5.46,ND,ND,ND,ND,1.93,1.94,ND,ND,14.89,14.99,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1:39 PM,73.0,0.8,E,6,NW,1,11.80,11.61,3.0,7.75,7.77,104,ND,,96,ND,,W,0.406, ,0.417,,0.094,,0.897,,2.420,,0.142,,7.0,7.8,0.932,,3.26,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
E2,1/14/08,5,48,17.20,17.88,5.43,5.16,ND,ND,ND,ND,1.77,1.82,ND,ND,13.57,14.12,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2:08 PM,52.0,SLK,ND,3,SW,1,12.04,11.64,3.0,7.82,7.82,113,ND,,66,ND,,W,0.388,,0.330,,0.074,,0.824,,2.380,,0.118,,5.5,7.5,0.804,,3.60,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
N5,1/14/08,5,49,9.74,15.53,4.09,5.99,ND,ND,ND,ND,1.01,1.64,ND,ND,7.74,12.20,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2:33 PM,50.0,0.8,SW,3,SW,1,13.04,11.73,1.5,7.71,7.92,180,ND,,67,ND,,W,0.472,,0.264,,0.058,,0.776,,3.430,,0.102,,8.0,8.6,0.796,,3.70,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
N4,1/14/08,5,39,7.16,7.12,3.63,6.09,ND,ND,ND,ND,0.75,0.80,ND,ND,5.70,5.58,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,3:00 PM,45.0,0.7,S,8,SW,1,13.19,11.49,2.0,7.81,7.84,100,ND,,40,ND,,W,0.486,,0.274,,0.058,,0.774,,3.460,,0.098,,7.7,7.2,0.820,,3.60,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
N3B,1/14/08,4,65,5.35,7.80,3.29,5.94,ND,ND,ND,ND,0.56,0.86,ND,ND,4.26,6.12,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,3:28 PM,70.0,1,S,10,SW,1,13.20,11.41,1.5,7.69,7.84,128,ND,,54,ND,,W,0.509,,0.245,,0.056,,0.794,,3.660,,0.098,,8.5,20.7,0.803,,3.90,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
N1,1/14/08,5,49,2.25,3.50,2.69,4.55,ND,ND,ND,ND,0.25,0.39,ND,ND,1.78,2.77,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,4:12 PM,52.0,1.4,S,6,E,1,14.10,12.32,1.5,7.78,7.77,140,ND,,34,ND,,W,0.568,,0.237,,0.046,,0.837,,4.560,,0.096,,8.0,19.5,0.816,,4.90,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
H3,1/14/08,4,26,8.66,9.00,3.79,4.00,ND,ND,ND,ND,0.90,0.94,ND,ND,6.89,7.15,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,4:55 PM,29.0,1.7,N,2,SW,1,13.37,13.08,1.5,7.64,7.69,188,ND,,84,ND,,W,0.517,,0.294,,0.072,,0.881,,3.770,,0.134,,14.0,11.7,0.984,,3.30,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
DN4,1/14/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,13.26,11.44,2.0,ND,ND,116,ND,,56,ND,,W,0.492,,0.262,,0.064,,0.833,,3.620,,0.096,,5.0,8.2,0.816,,3.30,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
N9,1/15/08,5,20,25.39,25.90,6.03,6.02,ND,ND,ND,ND,2.57,2.62,ND,ND,19.97,20.37,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,10:25 AM,18.0,0.5,E,14,W,1,11.42,10.45,7.0,7.50,7.57,30,ND,,10,ND,,W,0.246,,0.178,,0.047,,0.788,,1.180,,0.078,,8.0,17.2,1.471,,2.80,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
